Para colar no Siafi
262471536101523826247NS
93297
REC. SOB SUP. H.U. DR. MIGUEL RIET CORRÊA JR.
262731502181525926273NS
93293
REC. SOB SUP. HOSP. UNIV. GAFFREE E GUINLE
262691540351525526269NS
93294
REC. SOB. SUP. HOSP. UNIVERS. GETÚLIO VARGAS
262701502241525626270NS
93281
REC. SOB SUP. HOSP. UNIV. JOÃO BARROS BARRETO
262391581721523026239NS
93283
REC. SOB. SUP. HOSP. UNIVERS. LAURO WANDERLEY
262401530711523126240NS
93303
REC. SOB. SUP. HOSP. UNIV. MARIA PEDROSSIAN
262831543571526926283NS
93272
REC. SOB SUP. HOSP.UNIV.PROF. ALBERTO ANTUNES
262311502291522226231NS
93289
REC. SOB SUP. H.U. PROF. POLYDORO E.S. THIAGO
262461502321523726246NS
93274
REC. SOB. SUP. HOSP. UNIVERS. WALTER CANTÍDIO
262331502441522426233NS
93404
REC. SOB SUP. IND. MAT. BÉLICO BRASIL - IMBEL
522211680021650152221NS
93372
REC. SOB SUP. IND. NUC. BRASIL S.A. - INB
203031132061150420303NS
93207
REC. SOB. SUPERV. INSTITUTO BENJAMIN CONSTANT
260001520040000126000NS
93426
REC. SOB. SUPERV. INST. BRAS. DE MUSEUS
422074230014220742207NS
93396
RECURSOS SOB SUPERVISÃO DO IBAMA
207011930341921120701NS
93398
RECURSOS SOB SUPERVISÃO DO ICMBIO
442074430324420744207NS
93201
REC. SOB SUP. INST. PESQUISA ECONÔMICA APLICA
612011136011130261201NS
93397
REC. SOB SUP. INST. PESQ. JD. BOT. RJ - JBRJ
442064430194420644206NS
93424
REC. SOB SUP. INST. PATRIM. HIST. ART. NAC.
204114031014040120411NS
93306
REC. SOB. SUPERV. INSTITUTO FEDERAL BAIANO
264041581292640426404NS
93324
REC. SOB. SUPERV. INST. FED. CATARINENSE
264221581252642226422NS
93329
REC. SOB. SUPERV. INSTITUTO FEDERAL DA BAHIA
264271581452642726427NS
93319
REC. SOB. SUPERV. INST. FED. PARAÍBA
264171581382641726417NS
93304
REC. SOB. SUPERV. INST. FED. ALAGOAS
264021581472640226402NS
93330
REC. SOB. SUPERV. INST. FED. BRASÍLIA
264281581432642826428NS
93331
REC. SOB. SUPERV. INSTITUTO FEDERAL DE GOIÁS
264291581532642926429NS
93311
REC. SOB. SUPERV. INST. FED. MINAS GERAIS
264091581222640926409NS
93320
REC. SOB. SUPERV. INST. FED. PERNAMBUCO
264181581362641826418NS
93323
REC. SOB. SUPERV. INST. FED. RONDÔNIA
264211581482642126421NS
93339
REC. SOB. SUPERV. INST. FED. RORAIMA
264371581522643726437NS
93340
REC. SOB. SUPERV. INST. FED. SANTA CATARINA
264381585162643826438NS
93341
REC. SOB. SUPERV. INST. FED. SÃO PAULO
264391581542643926439NS
93325
REC. SOB. SUPERV. INST. FED. SERGIPE
264231581342642326423NS
93327
REC. SOB. SUPERV. INSTITUTO FEDERAL DO ACRE
264251581562642526425NS
93328
REC. SOB. SUPERV. INSTITUTO FEDERAL DO AMAPÁ
264261581502642626426NS
93305
REC. SOB. SUPERV. INST. FED. AMAZONAS
264031581422640326403NS
93307
REC. SOB. SUPERV. INSTITUTO FEDERAL DO CEARÁ
264051581332640526405NS
93308
REC. SOB. SUPERV. INST. FED. ESPÍRITO SANTO
264061581512640626406NS
93310
REC. SOB. SUPERV. INST. FED. MARANHÃO
264081581282640526408NS
93316
REC. SOB. SUPERV. INST. FED. MATO GROSSO
264141581442641426414NS
93317
REC. SOB. SUP. INST. FED. MATO GROSSO DO SUL
264151581322641526415NS
93312
REC. SOB. SUP. INST. FED. NORTE MG
264101581212641026410NS
93318
REC. SOB. SUPERV. INSTITUTO FEDERAL DO PARÁ
264161581352641626416NS
93334
REC. SOB. SUPERV. INSTITUTO FEDERAL DO PARANÁ
264321580092643226432NS
93333
REC. SOB. SUPERV. INSTITUTO FEDERAL DO PIAUÍ
264311581462643126431NS
93335
REC. SOB. SUPERV. INST. FED. RIO DE JANEIRO
264331581572643326433NS
93337
REC. SOB. SUP. INST. FED. RIO GRANDE DO NORTE
264351581552643526435NS
93321
REC. SOB. SUP. INST. FED. RIO GRANDE DO SUL
264191581412641926419NS
93332
REC. SOB. SUP. INST. FED. SERTÃO PERNAMBUCANO
264301581492643026430NS
93313
REC. SOB. SUP. INST. FED. SUDESTE MG
264111581232641126411NS
93314
REC. SOB. SUP. INST. FED. SUL DE MINAS GERAIS
264121581372641226412NS
93326
REC. SOB. SUPERV. INST. FED. TOCANTINS
264241581312642426424NS
93315
REC. SOB. SUP. INST. FED. TRIÂNGULO MINEIRO
264131580992641326413NS
93322
REC. SOB. SUPERV. INST. FED. FARROUPILHA
264201581272642026420NS
93336
REC. SOB. SUPERV. INST. FED. FLUMINENSE
264341581392643426434NS
93309
REC. SOB. SUPERV. INSTITUTO FEDERAL GOIANO
264071581242640726407NS
93338
REC. SOB. SUP. INST. FED. SUL-RIO-GRANDENSE
264361581262643626436NS
93198
REC. SOB SUP. INST. NAC. PROP. INDUST. - INPI
302041830381880130204NS
93182
RECURSOS SOB SUPERVISÃO DO INCRA
222013730013720122201NS
93206
REC. SOB. SUP. INST. NAC. EDUCAÇÃO DE SURDOS
260001520050000126000NS
93264
RECURSOS SOB SUPERVISÃO DO INEP
262901539782629026290NS
93197
RECURSOS SOB SUPERVISÃO DO INMETRO
302031830231820530203NS
93177
REC. SOB SUP. INST. NAC. TECNOL. INFORM - ITI
242082430012420824208NS
93204
REC. SOB. SUPERV. INST. NAC. SEGURO SOCIAL
372025100025720237202NS
93112
REC. SOB. SUP. JUSTIÇA FED. DE PRIMEIRO GRAU
120000900010000112000NS
93118
REC. SOB. SUPERV. JUSTIÇA MILITAR DA UNIÃO
130000600250000113000NS
93346
REC. SOB SUP. MATERN. VICTOR FERREIRA AMARAL
262411510461523226241NS
93275
REC. SOB SUP. MATERN-ESC. ASSIS CHATEAUBRIAND
262331502461522426233NS
93180
RECURSOS SOB SUPERVISÃO DO MAPA - ADM. DIRETA
220001301010000122000NS
93185
RECURSOS SOB SUPERV. DO MCTIC - ADM. DIRETA
240002401020000124000NS
93399
REC. SOB. SUP. MINIST. DEFESA - ADM. DIRETA
520001104070000152000NS
93464
RECURSOS SOB SUPERVISÃO MINIST. ECONOMIA
250001700130000125000NS
93495
REC. SOB. SUP. MINIST. ECONOMIA - EX TERRIT.
250001700130000125000NS
93205
REC. SOB. SUP. MINIST. EDUC. - ADM. DIRETA
260001500140000126000NS
93388
REC. SOB SUP. MINIST. INFRAEST. - ADM. DIRETA
390003900020000139000NS
93360
REC. SOB SUP. MINIST.JUS.SEG.PÚB. - ADM. DIR.
300002000940000130000NS
93430
REC. SOB SUP. MINIST.MULHER F.D.H - ADM. DIR.
810008100020000181000NS
93379
REC. SOB SUPERV. MRE - ADM. DIRETA
350002400050000135000NS
93366
REC. SOB. SUPERV. MME - ADM. DIRETA
320003200020000132000NS
93409
REC. SOB SUP. MINIST.DESENV.REG. - ADM. DIR.
530005300020000153000NS
93395
REC. SOB SUP. MINIST. MEIO AMB. - ADM. DIR.
440004400020000144000NS
93418
REC. SOB SUP. MINIST. TURISMO - ADM. DIRETA
540005400010000154000NS
93376
REC. SOB. SUP. MIN. PÚB. DF E TERRITÓRIOS
340002000090000134000NS
93377
REC. SOB. SUPERV. MIN. PÚB. TRABALHO
3400020010/0000134000NS
93374
REC. SOB. SUPERV. MINISTÉRIO PÚBLICO FEDERAL
340002000970000134000NS
93375
REC. SOB. SUPERV. MINISTÉRIO PÚBLICO MILITAR
340002000080000134000NS
93373
REC. SOB. SUPERV. NUCLEBRÁS S.A. - NUCLEP
203021132081150620302NS
93175
REC. SOB. SUPERV. PRESIDÊNCIA DA REPÚBLICA
201011100050000120101NS
93192
REC. SOB SUP. PROCURARIA-GERAL FAZENDA NAC.
250001700080000125000NS
93465
REC. SOB SUP. REMUN.AG.FINANC.MINIST.ECONOMIA
250001700130000125000NS
93452
REC. SOB SUP. SECRET.COM.INTERMINIST.REC. MAR
521317720010000152131NS
93191
REC. SOB SUP. SECRET. ESP RECEITA FED. BRASIL
250001700100000125000NS
93108
RECURSOS SOB SUPERVISÃO DO SENADO FEDERAL
2000020001000012000NS
93181
REC. SOB. SUP. SERVIÇO FLORESTAL BRAS. - SFB
442084400880000144208NS
93199
RECURSOS SOB SUPERVISÃO DA SUFRAMA
206031930281920520603NS
93196
REC. SOB. SUP. SUPERINT. SEGUROS PRIVADOS
252081730391720325208NS
93411
REC. SOB. SUP. SUPERINT. DESENV. AMAZÔNIA
532025330135320253202NS
93414
REC. SOB SUP. SUPERINT. DESENV. CO - SUDECO
532075330185320753207NS
93412
REC. SOB. SUP. SUPERINT. DESENV. NORDESTE
532035330145320353203NS
93195
REC. SOB SUP. SUPERINT. NAC. PREV. COMPLEM.
332063330013320633206NS
93111
REC. SOB. SUP. SUPERIOR TRIBUNAL DE JUSTIÇA
110000500010000111000NS
93109
REC. SOB. SUPERV. TRIBUNAL DE CONTAS DA UNIÃO
3000030001000013000NS
93173
REC. SOB. SUP. TRIBUNAL DE JUSTIÇA DF
160001000010000116000NS
93157
REC. SOB. SUP. TRT 10A. REG. - DF/TO
150000800160000115000NS
93158
REC. SOB. SUP. TRT 11A. REG. - AM/RR
150000800020000115000NS
93159
REC. SOB. SUP. TRT 12A. REG. - SC
150000800130000115000NS
93160
REC. SOB. SUP. TRT 13A. REG. - PB
150000800050000115000NS
93161
REC. SOB. SUP. TRT 14A. REG. - RO/AC
150000800150000115000NS
93162
REC. SOB. SUP. TRT 15A. REG. - CAMPINAS/SP
150000800110000115000NS
93163
REC. SOB. SUP. TRT 16A. REG. - MA
150000800180000115000NS
93164
REC. SOB. SUP. TRT 17A. REG. - ES
150000800190000115000NS
93165
REC. SOB. SUP. TRT 18A. REG. - GO
150000800200000115000NS
93166
REC. SOB. SUP. TRT 19A. REG. - AL
150000800220000115000NS
93148
REC. SOB. SUP. TRT 1A. REG. - RJ
150000800090000115000NS
93167
REC. SOB. SUP. TRT 20A. REG. - SE
150000800230000115000NS
93168
REC. SOB. SUP. TRT 21A. REG. - RN
150000800210000115000NS
93169
REC. SOB. SUP. TRT 22A. REG. - PI
150000800240000115000NS
93170
REC. SOB. SUP. TRT 23A. REG. - MT
150000800250000115000NS
93171
REC. SOB. SUP. TRT 24A. REG. - MS
150000800260000115000NS
93149
REC. SOB. SUP. TRT 2A. REG. - SP
150000800100000115000NS
93150
REC. SOB. SUP. TRT 3A. REG. - MG
150000800080000115000NS
93151
REC. SOB. SUP. TRT 4A. REG. - RS
150000800140000115000NS
93152
REC. SOB. SUP. TRT 5A. REG. - BA
150000800070000115000NS
93153
REC. SOB. SUP. TRT 6A. REG. - PE
150000800060000115000NS
93154
REC. SOB. SUP. TRT 7A. REG. - CE
150000800040000115000NS
93155
REC. SOB. SUP. TRT 8A. REG. - PA/AP
150000800030000115000NS
93156
REC. SOB. SUP. TRT 9A. REG. - PR
150000800120000115000NS
93123
REC. SOB. SUP. TR. REG. ELEIT. DA BAHIA
140000700130000114000NS
93133
REC. SOB. SUP. TR. REG. ELEIT. DA PARAÍBA
140000700090000114000NS
93121
REC. SOB. SUP. TR. REG. ELEIT. DE ALAGOAS
140000700110000114000NS
93127
REC. SOB. SUP. TR. REG. ELEIT. DE GOIÁS
140000700230000114000NS
93129
REC. SOB. SUP. TR. REG. ELEIT. DE MATO GROSSO
140000700220000114000NS
93130
REC. SOB. SUP. TRE MS
140000700160000114000NS
93131
REC. SOB. SUP. TRE MG
140000700140000114000NS
93135
REC. SOB. SUP. TR. REG. ELEIT. DE PERNAMBUCO
140000700100000114000NS
93140
REC. SOB. SUP. TR. REG. ELEIT. DE RONDÔNIA
140000700240000114000NS
93145
REC. SOB. SUP. TR. REG. ELEIT. DE RORAIMA
140000700280000114000NS
93141
REC. SOB. SUP. TRE SC
140000700200000114000NS
93142
REC. SOB. SUP. TR. REG. ELEIT. DE SÃO PAULO
140000700180000114000NS
93143
REC. SOB. SUP. TR. REG. ELEIT. DE SERGIPE
140000700120000114000NS
93144
REC. SOB. SUP. TR. REG. ELEIT. DE TOCANTINS
140000700270000114000NS
93120
REC. SOB. SUP. TR. REGIONAL ELEITORAL DO ACRE
140000700020000114000NS
93146
REC. SOB. SUP. TR. REG. ELEIT. DO AMAPÁ
140000700290000114000NS
93122
REC. SOB. SUP. TR. REG. ELEIT. DO AMAZONAS
140000700030000114000NS
93124
REC. SOB. SUP. TR. REG. ELEIT. DO CEARÁ
140000700070000114000NS
93125
REC. SOB. SUP. TRE DF
140000700250000114000NS
93126
REC. SOB. SUP. TRE ES
140000700150000114000NS
93128
REC. SOB. SUP. TR. REG. ELEIT. DO MARANHÃO
140000700050000114000NS
93132
REC. SOB. SUP. TR. REGIONAL ELEITORAL DO PARÁ
140000700040000114000NS
93134
REC. SOB. SUP. TR. REG. ELEIT. DO PARANÁ
140000700190000114000NS
93136
REC. SOB. SUP. TR. REG. ELEIT. DO PIAUÍ
140000700060000114000NS
93137
REC. SOB. SUP. TRE RJ
140000700170000114000NS
93138
REC. SOB. SUP. TRE RN
140000700080000114000NS
93139
REC. SOB. SUP. TRE RS
140000700210000114000NS
93113
REC. SOB. SUP. TR. REG. FED. DA 1A. REGIÃO
120000900320000112000NS
93114
REC. SOB. SUP. TR. REG. FED. DA 2A. REGIÃO
120000900340000112000NS
93115
REC. SOB. SUP. TR. REG. FED. DA 3A. REGIÃO
120000900350000112000NS
93116
REC. SOB. SUP. TR. REG. FED. DA 4A. REGIÃO
120000900330000112000NS
93117
REC. SOB. SUP. TR. REG. FED. DA 5A. REGIÃO
120000900360000112000NS
93147
REC. SOB. SUP. TRIBUNAL SUPERIOR DO TRABALHO
150000800010000115000NS
93119
REC. SOB. SUPERV. TRIBUNAL SUPERIOR ELEITORAL
140000700260000114000NS
93344
RECURSOS SOB SUPERVISÃO DA UNILAB
264421585652644226442NS
93211
REC. SOB. SUPERV. UNIV. FED.  BAHIA
262321530381522326232NS
93342
REC. SOB. SUPERV. UNIV. FED.  FRONTEIRA SUL
264401585172644026440NS
93244
RECURSOS SOB SUPERVISÃO DA UNILA
262671586582626726267NS
93219
REC. SOB. SUPERV. UNIV. FED.  PARAÍBA
262401530651523126240NS
93210
REC. SOB. SUPERV. UNIV. FED.  ALAGOAS
262311530371522226231NS
93238
REC. SOB. SUPERV. UNIV. FED.  ALFENAS
262601530281524826260NS
93231
REC. SOB. SUPERV. UNIV. FED.  CAMPINA GRANDE
262521581951528126252NS
93353
REC. SOB. SUPERV. UNIV. FED.  CATALÃO
262351561431522626235NS
93214
REC. SOB. SUPERV. UNIV. FED.  GOIÁS
262351530521522626235NS
93239
REC. SOB. SUPERV. UNIV. FED.  ITAJUBÁ
262611530301524926261NS
93354
REC. SOB. SUPERV. UNIV. FED.  JATAÍ
262351561441522626235NS
93216
REC. SOB. SUPERV. UNIV. FED.  JUIZ DE FORA
262371530611522826237NS
93241
REC. SOB. SUPERV. UNIV. FED.  LAVRAS
262361530561522726236NS
93217
REC. SOB. SUPERV. UNIV. FED.  MINAS GERAIS
262381530621522926238NS
93221
REC. SOB. SUPERV. UNIV. FED.  PERNAMBUCO
262421530801523326242NS
93355
REC. SOB. SUPERV. UNIV. FED.  RONDONÓPOLIS
262761540451526226276NS
93225
REC. SOB. SUPERV. UNIV. FED.  SANTA CATARINA
262461531631523726246NS
93226
REC. SOB. SUPERV. UNIV. FED.  SANTA MARIA
262471531641523826247NS
93240
REC. SOB. SUPERV. UNIV. FED.  SÃO PAULO
262621530311525026262NS
93251
REC. SOB. SUPERV. UNIV. FED.  UBERLÂNDIA
262741540431526026274NS
93357
RECURSOS SOB SUPERVISÃO DA UFAPE
262481531651523926248NS
93350
REC. SOB. SUPERV. UNIV. FED.  CARIRI
264491587192644926449NS
93212
REC. SOB. SUPERV. UNIV. FED.  CEARÁ
262331530451522426233NS
93356
REC. SOB. SUP. UNIV. FED.  DELTA DO PARNAÍBA
262791540481526526279NS
93213
REC. SOB. SUPERV. UNIV. FED.  ESPÍRITO SANTO
262341530461522526234NS
93348
REC. SOB. SUPERV. UNIV. FED.  OESTE DA BAHIA
264471587172644726447NS
93343
REC. SOB. SUPERV. UNIV. FED.  OESTE DO PARÁ
